,name,y_predict,r2,aue,mse,rmse,kt,ev,med
0,correct,"[393.0031486  403.1569179  371.4747541  517.9068362  249.4220898
 354.9809655  375.8955641  259.0809541  591.8611977  359.8626342
 248.113791   236.8540775  282.9466747  343.2903091  292.4865405
 390.6635909  264.0340475  500.         346.0603311  508.2434706
 260.4251012  462.1230386  315.6890996  285.4743609  297.2560934
 342.1412372  330.9218344  440.1284035  439.2096662  426.9556554
 360.0736177  383.2289501  216.2680452  311.4017217  367.4231498
 587.9625588  295.8547177  308.8954438  359.0122622  258.8927892
 238.5345515   79.90134009 374.7681804  315.3767474  367.2758879
 379.7764643  419.8611309  405.4179474  345.7300938  278.0259967
 331.2332453  349.2697042  390.0591007  385.2860502  324.182951
 317.5565065  242.9118774  264.0908179  304.3699409  166.5505858
 429.8562418  326.1999661  237.7271839  338.3402523  248.0334155
 424.0347917  309.9975696  338.4341614  358.0532213  278.4236203
 351.5474153  375.0571634  442.7901457  259.0413073  331.2332453
 351.3419913  359.586957   365.0090444  257.9497114  509.9563207
 395.9073137  432.6951312  358.0800469  267.6910336  341.6723528
 252.2235263  434.1972187  292.2208211  467.1755454  291.6167678
 360.4327973  374.3962987  260.657662   349.447221   248.9751553
 356.9517289  230.3660905  284.2671194  425.1819072  334.6749226
 368.2236377  391.5991181  360.9595488  436.0462461  347.6064734
 273.4842031  389.2347826  348.3276943  525.3        431.0734463
 472.2709295  338.6216769  336.0513763  338.6374269  316.2778671
 364.6167558  278.8896299  353.5074245  442.9745533  533.9700079
 393.7341732  243.1113567  508.1083473  338.4746803  468.3379021
 295.3146938  499.6794339  448.1934732  380.7748456  376.4828002
 323.1519376  339.7447553  294.7067958  330.3399132  374.7001091
 455.5355054  258.3897578  500.4508734  270.6413302  245.4857143
 289.7314935  360.3027176  276.9290651  338.002819   351.4420682
 353.8062199  266.3079724  510.012908   330.5499596  398.0302628
 413.5718676  262.1121155  264.3658537  365.9437246  308.7642272
 360.8947302  411.6666667  349.4261203  323.710226   438.153937
 330.9360669  413.0793653  539.061494   521.9032613  378.9293924
 310.3757434  506.6458359  521.461163   284.4969567  343.4401328
 449.2856124  294.1499921  269.7791148  405.6062009  348.3788938
 312.1959558  439.8232932  358.556213   258.6716121  364.7277507
 538.8096182  290.9622615  236.8540775  256.7870865  450.7331352
 415.1436571  279.4386103  457.3317751  371.9337708  410.7596397
 293.357103   535.7988723  386.6084977  388.06134    320.0805757
 328.4002955  446.4419651  468.2224536  322.578314   237.7271839
 272.6643305  352.9074737  380.3162719  383.2549266  377.3016491
 440.8999517  301.6359441  264.4831525  356.0498472  350.3478077
 319.4038265  489.9533533  347.1269421  392.3749837  441.8181086
 330.6438539  329.4521657  252.0484129  357.0951586  369.6037805
 286.3094563  594.9327383  371.7996085  304.9769105  391.6892502
 409.7583879  434.9695459  480.4809781  210.9688836  286.0882704
 351.8412076  290.4196738  373.5739887  342.2996732  335.6301962
 247.8294744  445.8670074  509.6873322  379.1177043  542.8181432
 365.0821089  410.1055463  436.0546329  270.0235558  506.1823195
 290.9668786  492.0219066  262.7518828  276.0037924  411.3731106
 226.4090576  315.9859856  318.7092782  336.2090072  400.6923559
 253.358562   379.3131026  411.5244387  491.3254627  321.6148375
 307.3852763  293.6688312  183.5132584  360.1234784  448.3068449
 323.5796883  417.904557   257.4442864  266.0607727  276.8558673
 356.5097355  336.121958   570.726133   592.120075   156.6976188
 414.8206543  504.779036   350.7035269  196.0987488  288.3521831
 356.6565646  302.7027027  359.1836735  332.3509606  378.486324
 296.1678551  428.5278878  155.8369317  514.7298617  436.7335835
 233.0981775  287.1148536  404.999731   478.6959334  416.9747611
 219.8478412  389.4896552  391.2483629  372.56386    364.4100649
 309.1071478  450.1917044  395.105852   311.6360207  357.267835
 316.405526   500.5227273  539.094857   475.4972875  392.7690245
 400.6923559  248.3238917  412.7568634  366.7216974  423.4364568
 459.8563855  370.8632063  259.7890993  343.9113356  329.6121667
 354.2277642  367.4893765  319.559865   350.4161616  432.6951312
 238.2041423  555.8885368  431.0294192  289.0124601  256.2288804
 382.3264766  471.521489   481.4502553  436.8380321  284.7286822
 411.7721617  449.9621497  556.3915468  554.7945205  367.7807077
 352.4318866  381.4468429  504.8377604  522.4910697  269.803549
 167.2576832  397.4860215  341.9473601  324.9417839  248.5444708
 326.0291242  426.6166823  267.3707594  269.4444444  361.8041374
 327.5180469  349.7351014  346.5453382  481.4502553  255.6586375
 236.3475509  414.8206543  260.130881   314.9520117  372.5986362
 433.4497262  285.1063595  346.7283543  342.0715292  506.6574848
 378.6563392  230.3691275  401.7351356  504.0086207  386.8344273
 326.8523005  430.7776285  317.1142317  334.7443308  403.2248859
 424.2751451  359.3341943  301.480716   297.4256402  372.0001671
 295.7137273  305.9031686  561.660536   225.5301073  461.6551998
 282.9630647  524.4810825  401.7893115  574.9569009  318.6261872
 434.4728411  388.0619415  604.1485695  268.1025417  346.3144567
 457.6401481  450.9906505  424.7731085  253.9631297  370.8200179
 403.8986823  331.8760593  312.8441285  371.9771242  506.2628236
 360.5922716  390.6436766  380.0045298  388.8733942  400.8911291
 514.1240257  349.6243785  523.0001975  324.4736098  598.9593238
 566.8041051  267.6740686  344.0950456  192.8453637  443.3888448
 299.8244051  402.7935609  366.9882384  265.3679654  241.5835629
 411.7314419  303.6227942  357.7446924  207.5941504  410.1485149
 266.2357359  474.3846849  305.6840155  306.73528    375.5666334
 307.9549236  399.2416926  214.1407529  490.8544145  400.9897829
 426.5973524  324.0470156  241.0494943  359.513435   355.7178116
 336.4018003  316.8423856  324.5452001  397.5860375  401.3422587
 270.7279298  261.7276796  369.0395777  287.4531258  279.8913043
 255.8132461  368.1668409  413.4021403  372.2829212  279.8021325
 470.9745992  375.8479944  344.2548191  384.4262295  357.4080679
 539.094857   372.4363933  409.4946952  494.5204228  444.0433854
 270.5016909  230.2325581  380.3162719  301.1680955  385.7414208
 285.1246618  421.0342922  371.6014893  539.782643   186.0621707
 323.1715073  301.4840162  270.0084844  274.6182301  225.7972698
 384.5036713  280.9371394  395.147797   264.1719626  312.1959558
 304.0551034  358.1022567  437.7750728  492.0462152  238.2041423
 212.9076403  470.3239032  298.3398246  255.8132461  219.1361494
 383.090315   364.754883   401.1004712  322.1162424  272.085527
 427.1575155  448.9471096  567.0926995  517.5703696  429.7237098
 379.4759529  312.115707   343.0064531  326.8954791  400.6923559
 382.3282681  428.3018868  362.034114   418.8832883  398.0725893
 467.9718791  515.3441157  381.8007665  374.6451974  290.9145658
 404.5494523  399.5253818  381.396922  ]",,,,,,,
1,random_forest,"[307.9947811  399.27359508 373.62279505 467.67695988 291.4138023
 414.00565198 377.49853241 263.34728293 452.11939987 297.47012134
 325.25059818 284.8346305  313.81074323 349.8363983  445.82707187
 384.55090513 313.16710079 465.58329606 389.38060086 494.98625865
 366.64708501 300.87564414 337.12181931 376.14492548 298.58105566
 342.56750797 359.97884552 322.22559333 388.07744567 353.81099126
 388.1920852  337.9331026  285.83270503 333.49254054 389.27799629
 504.99401212 401.35416116 322.81963746 366.27982494 294.74271389
 347.61073469 414.50618358 436.90749036 363.34781465 342.33459684
 354.00115915 447.96724753 336.15241088 402.87358791 327.4610775
 308.44191249 405.54879201 411.02013127 360.90950348 394.79732462
 339.34489047 371.11972418 325.21567871 474.85654024 375.31318011
 392.56491234 369.03502176 250.31259634 377.38713365 285.98169134
 370.09235961 327.10774667 350.41395962 371.7470776  370.80404502
 295.00707862 342.82061131 421.88186058 285.74784399 308.80743279
 400.6774161  341.73142514 372.91964958 294.78980165 375.721323
 389.18747042 423.6777999  389.46601196 289.07756688 347.26105434
 304.76385394 362.51649748 293.79615694 455.87797453 283.92568696
 428.48259461 373.85629867 356.78629045 394.20159829 316.72987746
 332.81855039 290.26177671 296.82392484 404.92587438 377.77592757
 353.22605571 350.9811557  411.06256962 385.07577755 376.71566351
 291.7763028  366.46481027 314.0965387  345.41350838 429.41895817
 393.66082641 296.54924783 336.34700493 318.16596779 330.52892606
 375.4982574  299.31560281 408.66179794 370.55065374 346.72663145
 403.16231988 293.91183693 443.63185479 355.81905434 412.47699001
 299.16464869 465.9323001  437.3581624  424.92337078 380.41448314
 330.31629671 352.43265804 296.37261452 396.64395172 327.14394904
 457.72617736 262.7842352  387.65459392 354.52582791 301.90758374
 274.59419068 355.89462019 304.43667769 360.41423187 332.09432748
 324.99927182 352.24318571 427.58099136 333.06391745 369.74517396
 384.85681197 355.965779   365.89447043 338.35261535 450.00613913
 391.76994469 381.11338364 310.88356409 331.35263413 417.66756854
 310.98596024 365.02480419 491.16944483 468.00563209 397.57774859
 322.50999345 421.30455742 487.25378166 339.43520012 367.45219249
 423.12906323 318.39202122 310.46900484 380.30142968 352.80484546
 359.51601376 350.91582699 370.31043331 372.00781223 379.19049208
 528.71834919 376.34678128 280.51300382 399.67635371 364.08032098
 392.98138208 309.11877948 466.52864562 387.59742012 352.60186872
 298.3669889  473.58040502 361.4223388  342.92151618 344.43856769
 514.03252818 423.75009826 356.44646009 298.68232807 259.63938404
 289.73190669 369.01317612 365.18712047 348.29671892 334.94638733
 400.27865748 292.52343962 330.39001407 328.13065045 386.07996028
 336.95295958 301.05715557 342.88068303 363.42994372 454.37073883
 315.43515724 321.23624786 313.88637698 406.33748177 381.16314885
 310.06715269 476.87510555 333.74496199 294.39592793 403.33779996
 357.271681   424.50158039 423.17359944 307.51568748 345.37135975
 351.52376622 323.19308854 364.41311268 358.33618937 372.50698297
 315.75809133 394.07120117 493.15428164 366.12482149 504.21288381
 381.68024965 335.56939491 344.18437662 280.3280407  487.43545967
 319.17369102 495.13386265 286.53148966 284.44665761 371.50176778
 237.3117438  295.70038909 301.98581546 310.85311233 354.77802315
 351.70266325 367.8980841  387.116383   345.59484442 363.23545397
 304.45778226 330.95624626 297.47758293 306.00354211 484.8597508
 340.63527231 524.72486808 308.84086073 364.12831033 349.94247701
 371.4659878  296.77734957 409.08203967 408.21814932 385.82070449
 387.50530247 462.99647995 359.7434089  286.24104689 299.11391469
 440.01949245 483.9274366  388.67612265 331.3546303  390.3660732
 291.17662581 391.04678213 209.44950859 407.75454372 417.45749083
 330.38331696 295.87338523 387.97400327 379.47643539 400.75951253
 309.2018511  362.39396194 321.50269754 353.47463655 373.70455098
 322.65684456 321.2596171  342.67135008 348.3772129  325.66579068
 290.63808185 491.25957733 514.75603631 374.47418107 394.00559021
 364.58334568 336.40911483 369.91011608 297.4178556  348.82761713
 379.48573927 365.17695163 322.08023578 357.19432206 302.2047319
 366.21204239 396.91450849 286.63193571 399.31442298 422.31534153
 262.11146868 463.37096512 345.38754378 299.30364761 275.76610102
 354.39650391 506.17009043 388.62657001 392.92339363 294.40172274
 386.89872845 400.0687334  518.03804287 473.50726009 324.61999169
 295.09472307 354.7378122  422.95068637 463.62699053 302.49903049
 272.99759667 360.53675525 360.76151781 361.35111988 304.28933895
 403.55793656 415.32731298 276.22515597 367.43697914 333.5759309
 328.19091429 338.96028088 362.77805809 387.55907575 282.11546759
 281.18595647 388.31524677 317.5164243  281.85388087 374.78895608
 367.19476594 279.24959857 352.22692099 350.45105077 390.57949267
 374.63172216 330.34930581 380.06344299 482.20118302 390.99034703
 326.79270403 363.27807319 311.59443835 329.3179553  350.7058321
 403.35737449 351.94127163 310.22913532 352.71983184 355.12252802
 298.21089513 351.36942023 545.6950375  273.75163161 353.0774644
 279.78870312 417.969111   404.69117993 542.9593367  348.29822631
 369.05729376 374.04956379 436.61007274 288.63835715 348.92725581
 382.8870863  471.51797837 434.72184287 313.89043965 377.63689207
 423.26889128 376.38409026 346.51322084 342.90173199 358.14740286
 387.61384476 388.44724965 323.78883531 395.57168287 375.06979855
 352.9102489  351.16322795 474.5914701  361.5182095  418.22454666
 492.72927144 361.6632625  383.28567039 327.27344924 401.6735322
 352.63906599 385.98205656 312.54318588 397.94064427 252.12822801
 381.61954743 287.77129096 291.181182   322.67959204 364.47306077
 317.74823379 474.38628709 375.11698288 351.77126253 370.71141276
 387.98282996 385.3487853  312.14077794 339.02373577 410.77258671
 383.77760966 466.97647117 382.92630929 359.27797375 364.38875696
 346.87605101 372.52036925 348.53967567 400.76318895 383.38637588
 378.52221481 308.72578078 326.37398299 282.49776687 301.28395268
 288.01691338 381.56434863 406.7688301  370.13542458 287.39696488
 374.92135332 379.64719997 326.60313207 392.38384261 334.1618307
 497.29166294 396.60629845 369.31715157 403.32676359 385.40954409
 377.04101607 356.58628665 351.38671183 337.21316741 366.643431
 322.30666306 365.82014787 335.34654876 396.97022208 192.66636531
 307.33938889 320.2012685  320.3371356  312.7911673  267.18245779
 433.90752424 256.47033608 398.75615791 297.49076139 347.7866198
 339.62950673 370.51993522 420.96144302 390.06157472 239.46632929
 259.82449226 415.28405273 298.39933347 279.86991663 330.52147224
 385.73370813 397.3936191  379.33868695 321.14852871 326.45921487
 397.81658528 394.03623347 446.96116028 352.33616402 407.56724684
 439.28958244 367.48860165 305.19935835 347.38529007 349.81517716
 361.75851564 371.30193336 306.05572985 496.51765002 396.51823349
 404.92978824 452.74904434 356.36051058 369.21869555 275.27529054
 359.86200293 367.79816401 333.07466281]",0.48698020850415824,45.18734874793425,3866.2983281419056,62.17956519743368,"KendalltauResult(correlation=0.5155215106692432, pvalue=7.964930048656877e-71)",0.48698207331689225,32.77341473799976
