name,linker1,linker2
EREGOY_clean,EREGOY_clean_linker_1.xyz,EREGOY_clean_linker_1.xyz
WIDZUG_clean,WIDZUG_clean_linker_5.xyz,WIDZUG_clean_linker_4.xyz
WOBHOM_clean,WOBHOM_clean_linker_7.xyz,WOBHOM_clean_linker_6.xyz
UWUKII_clean,UWUKII_clean_linker_6.xyz,UWUKII_clean_linker_4.xyz
IGUCET_clean,IGUCET_clean_linker_4.xyz,IGUCET_clean_linker_4.xyz
CUXFIL_clean,CUXFIL_clean_linker_1.xyz,CUXFIL_clean_linker_1.xyz
VEMSUC_clean,VEMSUC_clean_linker_7.xyz,VEMSUC_clean_linker_10.xyz
VEJHID_clean,VEJHID_clean_linker_2.xyz,VEJHID_clean_linker_2.xyz
PEVBUP_clean,PEVBUP_clean_linker_16.xyz,PEVBUP_clean_linker_29.xyz
BEYSEF_clean,BEYSEF_clean_linker_7.xyz,BEYSEF_clean_linker_6.xyz
UTOTUT_clean,UTOTUT_clean_linker_5.xyz,UTOTUT_clean_linker_4.xyz
YIZGOF_clean,YIZGOF_clean_linker_3.xyz,YIZGOF_clean_linker_3.xyz
HOWPUF_clean,HOWPUF_clean_linker_6.xyz,HOWPUF_clean_linker_7.xyz
VEDGIW_clean,VEDGIW_clean_linker_8.xyz,VEDGIW_clean_linker_8.xyz
GIYSOX_clean,GIYSOX_clean_linker_4.xyz,GIYSOX_clean_linker_5.xyz
YARKAF_clean,YARKAF_clean_linker_8.xyz,YARKAF_clean_linker_1.xyz
IGUTUB_clean,IGUTUB_clean_linker_0.xyz,IGUTUB_clean_linker_0.xyz
ALUJOH_clean,ALUJOH_clean_linker_9.xyz,ALUJOH_clean_linker_9.xyz
LEVLEF_clean,LEVLEF_clean_linker_14.xyz,LEVLEF_clean_linker_0.xyz
METYIU_clean,METYIU_clean_linker_5.xyz,METYIU_clean_linker_5.xyz
NUTYIM_clean,NUTYIM_clean_linker_1.xyz,NUTYIM_clean_linker_1.xyz
YOYBUL_clean,YOYBUL_clean_linker_2.xyz,YOYBUL_clean_linker_3.xyz
QIVZEC_clean,QIVZEC_clean_linker_9.xyz,QIVZEC_clean_linker_3.xyz
QUSRON_clean,QUSRON_clean_linker_0.xyz,QUSRON_clean_linker_0.xyz
QOSXOM_clean,QOSXOM_clean_linker_15.xyz,QOSXOM_clean_linker_28.xyz
OHUMIP_clean,OHUMIP_clean_linker_2.xyz,OHUMIP_clean_linker_2.xyz
VEHRIL_clean,VEHRIL_clean_linker_2.xyz,VEHRIL_clean_linker_2.xyz
HADQUA_clean,HADQUA_clean_linker_19.xyz,HADQUA_clean_linker_19.xyz
ZIJVOF01_clean,ZIJVOF01_clean_linker_1.xyz,ZIJVOF01_clean_linker_1.xyz
REGMUN_clean,REGMUN_clean_linker_0.xyz,REGMUN_clean_linker_1.xyz
HOZTOG_clean,HOZTOG_clean_linker_1.xyz,HOZTOG_clean_linker_1.xyz
PURNEX_clean,PURNEX_clean_linker_2.xyz,PURNEX_clean_linker_0.xyz
LIFSEA_clean,LIFSEA_clean_linker_1.xyz,LIFSEA_clean_linker_2.xyz
CAKFIF_clean,CAKFIF_clean_linker_1.xyz,CAKFIF_clean_linker_1.xyz
ZUWXUM_clean,ZUWXUM_clean_linker_3.xyz,ZUWXUM_clean_linker_3.xyz
DAFHID_clean,DAFHID_clean_linker_2.xyz,DAFHID_clean_linker_2.xyz
NATHOH_ion_b,NATHOH_ion_b_linker_13.xyz,NATHOH_ion_b_linker_13.xyz
QODHUO12_clean,QODHUO12_clean_linker_2.xyz,QODHUO12_clean_linker_2.xyz
EWESAC_clean,EWESAC_clean_linker_2.xyz,EWESAC_clean_linker_3.xyz
KOMJIH_clean,KOMJIH_clean_linker_10.xyz,KOMJIH_clean_linker_10.xyz
NAQQED_clean,NAQQED_clean_linker_2.xyz,NAQQED_clean_linker_2.xyz
KOSLEL_clean,KOSLEL_clean_linker_1.xyz,KOSLEL_clean_linker_1.xyz
FULQUZ_clean,FULQUZ_clean_linker_2.xyz,FULQUZ_clean_linker_2.xyz
XEHSUZ_clean,XEHSUZ_clean_linker_18.xyz,XEHSUZ_clean_linker_18.xyz
MOLKAB_clean,MOLKAB_clean_linker_4.xyz,MOLKAB_clean_linker_4.xyz
ABAYOU_clean,ABAYOU_clean_linker_4.xyz,ABAYOU_clean_linker_4.xyz
IGUVIR01_clean,IGUVIR01_clean_linker_6.xyz,IGUVIR01_clean_linker_6.xyz
REGMOH_clean,REGMOH_clean_linker_4.xyz,REGMOH_clean_linker_5.xyz
RIXBIK_clean,RIXBIK_clean_linker_7.xyz,RIXBIK_clean_linker_4.xyz
GOQSIQ_clean,GOQSIQ_clean_linker_68.xyz,GOQSIQ_clean_linker_68.xyz
LAWHUP_clean,LAWHUP_clean_linker_1.xyz,LAWHUP_clean_linker_1.xyz
GUSNEN_SL,GUSNEN_SL_linker_0.xyz,GUSNEN_SL_linker_0.xyz
HAZGOF08_clean_h,HAZGOF08_clean_h_linker_5.xyz,HAZGOF08_clean_h_linker_5.xyz
OGIKAR_clean,OGIKAR_clean_linker_12.xyz,OGIKAR_clean_linker_12.xyz
NUCYAN_clean,NUCYAN_clean_linker_2.xyz,NUCYAN_clean_linker_3.xyz
YOZRUC_clean,YOZRUC_clean_linker_0.xyz,YOZRUC_clean_linker_1.xyz
SANHUN_clean,SANHUN_clean_linker_3.xyz,SANHUN_clean_linker_2.xyz
EXEQAA_clean,EXEQAA_clean_linker_4.xyz,EXEQAA_clean_linker_4.xyz
MIBMER_clean,MIBMER_clean_linker_17.xyz,MIBMER_clean_linker_17.xyz
SABZED_clean,SABZED_clean_linker_3.xyz,SABZED_clean_linker_3.xyz
FEHCIG_manual,FEHCIG_manual_linker_5.xyz,FEHCIG_manual_linker_5.xyz
QAVWAN_clean,QAVWAN_clean_linker_3.xyz,QAVWAN_clean_linker_1.xyz
NEYJIM_clean,NEYJIM_clean_linker_8.xyz,NEYJIM_clean_linker_8.xyz
LAVTEJ_clean,LAVTEJ_clean_linker_1.xyz,LAVTEJ_clean_linker_1.xyz
IQOJEF_clean,IQOJEF_clean_linker_8.xyz,IQOJEF_clean_linker_11.xyz
LIPQIL_clean,LIPQIL_clean_linker_5.xyz,LIPQIL_clean_linker_5.xyz
VEDGES_clean,VEDGES_clean_linker_2.xyz,VEDGES_clean_linker_2.xyz
FAVGOB_clean,FAVGOB_clean_linker_2.xyz,FAVGOB_clean_linker_2.xyz
UWELIS_clean,UWELIS_clean_linker_2.xyz,UWELIS_clean_linker_2.xyz
WEVQOD01_clean,WEVQOD01_clean_linker_1.xyz,WEVQOD01_clean_linker_1.xyz
HAJDII_clean,HAJDII_clean_linker_9.xyz,HAJDII_clean_linker_9.xyz
SEHLEY_clean,SEHLEY_clean_linker_3.xyz,SEHLEY_clean_linker_3.xyz
MIFROK_clean,MIFROK_clean_linker_17.xyz,MIFROK_clean_linker_17.xyz
POWBEK_clean,POWBEK_clean_linker_0.xyz,POWBEK_clean_linker_3.xyz
XAFXOT_clean,XAFXOT_clean_linker_2.xyz,XAFXOT_clean_linker_2.xyz
OWAVIS_clean,OWAVIS_clean_linker_10.xyz,OWAVIS_clean_linker_2.xyz
JORRAL_clean,JORRAL_clean_linker_5.xyz,JORRAL_clean_linker_6.xyz
HOWPEQ_clean,HOWPEQ_clean_linker_6.xyz,HOWPEQ_clean_linker_6.xyz
INIRII_clean,INIRII_clean_linker_2.xyz,INIRII_clean_linker_24.xyz
VEDFAN_clean,VEDFAN_clean_linker_14.xyz,VEDFAN_clean_linker_14.xyz
NIWZIE16_clean,NIWZIE16_clean_linker_4.xyz,NIWZIE16_clean_linker_4.xyz
COXHON_clean,COXHON_clean_linker_5.xyz,COXHON_clean_linker_5.xyz
CUQRIR_clean,CUQRIR_clean_linker_0.xyz,CUQRIR_clean_linker_1.xyz
RUBDUP_clean,RUBDUP_clean_linker_3.xyz,RUBDUP_clean_linker_3.xyz
WECJIZ_clean,WECJIZ_clean_linker_7.xyz,WECJIZ_clean_linker_6.xyz
