name,Boiling-Point,Melting-Point,Density,Dissociation Constants,Flash-Point
LEWMUX_clean,,,,,
LITCUO_clean,,,,,
VEWLAM_clean,,,,,
KOHKOI_clean,,,,,
GUHMIH_clean,,,,,
RAYLOU_clean,,,,,
SIZNIA_clean,,,,,
FORQEJ_clean,,252.0,,,
PEYPAM_SL,,,,,
PENZIS_clean,,,,,
GITVEL_clean,260.6666666666667,89.88,0.0,0.0,145.0
SISFEH_clean,,254.0,,,
DAMYOI_clean,,,,,
YOTXOW_clean,,,,,
WOBHOL_clean,,,,,
IGUCET_clean,277.51851851851853,42.21333333333333,0.0,0.0,
BOXYIY_clean,0.0,174.65740740740742,0.0,0.0,
OPOYUO_clean,,,,,
RUGJAG_clean,102.8425925925926,4.007936507936509,0.0,0.0,64.0925925925926
ULASAD_clean,25.632916666666667,-13.578055555555554,0.0,0.0,-17.809523809523807
BASSUL_clean,,,,,
HAZNED_clean,,,,,
NIRDAT_clean,277.51851851851853,42.21333333333333,0.0,0.0,
DIBJIJ_clean,,,,,
WASTUG_clean,,,,,
OSAVUA_clean,,,,,
SABVOH_manual,0.0,427.0,0.0,0.0,260.0
FALQOA_clean,,0.0,,,
QADWEA_clean,0.0,174.65740740740742,0.0,0.0,
QUPHIT_clean,,293.0,,,
IGIZAA_clean,277.51851851851853,42.21333333333333,0.0,0.0,
UMOKIS_clean,,,,,
EXEWIO_clean,,,,,
QUJFUX_clean,,,,,
HAZGOF01_clean_h,0.0,427.0,0.0,0.0,260.0
AMODUC_clean,,,,,
NANMAS_charged,,148.0,,,
PUQHEP_clean,,,,,
XIMPOA01_clean,,,,,
QUQFOY_clean,,,,,
ALUKIC_clean,,,,,
ARAFEF_clean,,,,,
OXALAB_clean,,,,,
DULCAQ_clean,235.0,188.0,0.0,0.0,160.0
WUPNIF_clean,,276.0,,0.0,
SIVGOV_clean,,,,,
SETQIT_clean,0.0,427.0,0.0,0.0,260.0
POWBIO_clean,,,,,
UNABUH_clean,,,,,
KOCCUC_clean,,,,,
PEWLUA_clean,,,,,
UFASEA_ion_b,,288.0,,,
SETRAM_clean,0.0,427.0,0.0,0.0,260.0
VIRPOC_clean,260.0,0.0,0.0,,170.0
DUDKEU_clean,,,,,
MILQIJ_clean,,312.5,,,
AVIMUO_clean,,,,,
ALAMUW_clean,,,,,
UKUBIM_clean,,,,,
YUZXAT_clean,0.0,427.0,0.0,0.0,260.0
REYCEF_clean,,,,,
PORVID_clean,,276.0,,0.0,
TAJXIO05_clean,0.0,346.3333333333333,0.0,0.0,
LAWFUN_clean,,,,,
WICQOP_clean,,,,,
EJOQOL_clean,,,,,
SONTOF_clean,0.0,427.0,0.0,0.0,260.0
XIVMEW_clean,,,,,
JIYXUL_clean,0.0,174.65740740740742,0.0,0.0,
OWIJEL_clean,,,,,
LOFVUY_clean,,,,,
UWALEL_clean,,,,,
WEDXEK_clean,0.0,236.5822222222222,0.0,0.0,193.0
FIJDIM08_clean,0.0,427.0,0.0,0.0,260.0
RIPWIY_clean,0.0,174.65740740740742,0.0,0.0,
XUNSUW_clean,,315.0,,0.0,
XOMCIN_clean,,,,,
VEDGAO_clean,,315.0,,0.0,
YOBYAR_clean,,,,,
ZUWXUM_clean,,,,,
YARDEC_clean,0.0,427.0,0.0,0.0,260.0
MUMYAW_clean,,,,,
PIBGAK_clean,,,,,
AFITUF_clean,,,,,
GAXVUY_clean,0.0,427.0,0.0,0.0,260.0
FAJZOI_clean,,,,,
COMGUH_clean,,,,,
