symbol,atomic_number,crystal_structure,atomic_weight,outer_shell,orbitals,max_valence,melting_point,boiling_point,electronegativity,covalent_radius,ionic_radius,atomic_radius,atomic_volume,first_ionization_poetential,second_ionization_potential,third_ionization_potential,density,specific_heat,heat_of_vaporization,heat_of_fusion,electrical_conductivity,thermal_conductivity,modulus_of_elasticity,coefficient_of_thermal_expansion,lattice_param_1,lattice_param_2,lattice_param_3,period,atomic_mass,ionization_energy,electron_affinity,most_stable_oxidation_state,First_IP,specific_heat_capacity,group,orbitla,2nd_most_stable_oxidation_state,3rd_most_stable_oxidation_state,4th_most_stable_oxidation_state
Fm,100,Unknown,-257.0951,2," [Rn] 5f12 7s2",,,,1.3,,,,,6.5,,,,,,,,0.1,,,,,,7,257.0951,627,,3,6.42,,3,f,,,
Md,101,Unknown,-258.0984,2," [Rn] 5f13 7s2",3,,,1.3,,,,,6.58,,,,,,,,0.1,,,,,,7,258.1,635,,3,6.5,,3,f,,,
No,102,Unknown,-259.1011,2," [Rn] 5f14 7s2",,,,1.3,,,,,6.65,,,,,,,,0.1,,,,,,7,259.1009,642,,3,6.58,,3,f,,,
Lr,103,Unknown,-262.1098,2," [Rn] 5f14 6d1 7s2",3,,,,,,,,,,,,,,,,0.1,,,,,,7,262.11,,,3,6.65,,3,f,2,,
Rf,104,Unknown,-261.1089,2," [Rn] 5f14 6d2 7s2",,,,,,,,,,,,,,,,,0.23,,,,,,7,261.11,,,3,,,3,d,,,
Ha,105,Unknown,-262.1144,2," [Rn] 5f14 6d3 7s2",,,,,,,,,,,,,,,,,0.58,,,,,,7,262.114,,,,,,4,d,,,
Sg,106,Unknown,-263.1186,2," [Rn] 5f14 6d4 7s2",,,,,,,,,,,,,,,,,,,,,,,7,263.118,,,,,,5,d,,,
Ns,107,Unknown,-262.1231,2," [Rn] 5f14 6d5 7s2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,d,,,
Hs,108,Unknown,-265.1306,2," [Rn] 5f14 6d6 7s2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,d,,,
Mt,109,Unknown,-266.1378,2," [Rn] 5f14 6d7 7s2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,d,,,
Unn,110,Unknown,-268,2," [Rn] 5f14 6d9 7s1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,d,,,
Unu,111,Unknown,-269,2," [Rn] 5f14 6d10 7s1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,d,,,
