name,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,0ASA_m2_cm3,0ASA_m2_g,AV_VF,AV_cm3_g,0AV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites,FSR_overlap
ASIVAB_clean,12.32132,7.27063,11.94622,0.538243,2328.12,4325.4,0,0,0.795,1.47703,0,Cu,1,Cu,1
ASIVEF_clean,11.85007,7.21214,11.45277,0.623261,2219.01,3560.32,0,0,0.7618,1.22228,0,Cu,1,Cu,1
ASOHUL_clean,6.56282,6.27917,6.55848,1.03902,1614.33,1553.7,0,0,0.6152,0.592095,0,V,0," ",1
ASOSU1_clean,9.00116,4.32918,8.7971,0.897328,2289.34,2551.28,0,0,0.6734,0.75045,0,"Cu,Si",1,Cu,1
ASO1O1_clean,9.52144,5.9183,9.51707,0.828676,2119.74,2557.99,0,0,0.6796,0.820103,0,Cd,1,Cd,1
ASUBIB_clean,6.13583,4.25508,6.12102,1.52116,1472.07,967.73,0,0,0.532,0.349733,0,Eu,1,Eu,1
ASUJAB_clean,7.27527,4.07821,7.26364,1.03634,1980.85,1911.4,0,0,0.6072,0.58591,0,Zn,0," ",1
ASUJIJ_clean,4.5403,2.92723,3.73207,1.40519,0,0,582.623,414.621,0.4754,0.338317,0,Zn,0," ",1
ASUKEE_clean,4.78914,3.45844,4.64139,1.18597,613.731,517.491,0.198684,0.167528,0.5058,0.426485,0,Cu,1,Cu,1
ASUKEE01_clean,4.79531,3.45398,4.78239,1.18884,601.717,506.139,0.156486,0.131629,0.504,0.423944,0,Cu,1,Cu,1
ASUWUI_clean,7.16113,4.73321,7.10699,1.15085,1085.85,943.517,0,0,0.5382,0.467654,0,Zn,1,Zn,1
ATA1AX_clean,10.41989,5.8507,10.41891,0.781859,2402.26,3072.5,0,0,0.7182,0.91858,0,Zn,1,Zn,1
ATA1EB_clean,10.54748,5.75428,10.54661,0.825883,2349.73,2845.11,0,0,0.7048,0.853389,0,Cu,1,Cu,1
