name,node1_homology_0,node1_homology_1,node1_homology_10,node1_homology_11,node1_homology_20,node1_homology_29,node1_homology_30,node1_homology_38,node1_homology_40,node1_homology_47,node1_homology_50,node1_homology_57,node1_homology_59,node1_homology_60,node1_homology_65,node1_homology_66,node1_homology_67,node1_homology_68,node1_homology_69,node1_homology_75,node1_homology_76,node1_homology_77,node1_homology_78,node1_homology_79,node1_homology_87,node1_homology_88,node1_homology_99,node2_homology_1,node2_homology_11,node2_homology_18,node2_homology_20,node2_homology_29,node2_homology_37,node2_homology_38,node2_homology_39,node2_homology_40,node2_homology_47,node2_homology_50,node2_homology_57,node2_homology_59,node2_homology_60,node2_homology_65,node2_homology_66,node2_homology_67,node2_homology_68,node2_homology_76,node2_homology_78,node2_homology_79,node2_homology_86,node2_homology_87,node2_homology_88,node2_homology_96,node2_homology_97,node2_homology_99,linker1_homology_0,linker1_homology_20,linker1_homology_30,linker1_homology_35,linker1_homology_40,linker1_homology_50,linker1_homology_60,linker1_homology_65,linker1_homology_70,linker1_homology_76,linker1_homology_78,linker1_homology_79,linker1_homology_87,linker1_homology_88,linker1_homology_89,linker1_homology_97,linker1_homology_98,linker1_homology_99,linker2_homology_0,linker2_homology_5,linker2_homology_10,linker2_homology_30,linker2_homology_35,linker2_homology_40,linker2_homology_45,linker2_homology_50,linker2_homology_55,linker2_homology_60,linker2_homology_65,linker2_homology_66,linker2_homology_70,linker2_homology_75,linker2_homology_77,linker2_homology_79,linker2_homology_87,linker2_homology_88,linker2_homology_89,linker2_homology_96,linker2_homology_97,linker2_homology_98,linker2_homology_99
EBOTOF_clean,0.0,0.0,0.0,0.0,2.1600666064241935e-05,0.0,13.50219938209712,0.0,7.260910578184188,0.0,1.6942903279959178e-42,0.0,0.0,8.870843355756917e-246,0.0,0.0,0.0,0.0,0.0,0.0,0.073720042340995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1600666064241935e-05,0.0,0.0,0.0,0.0,7.260910578184188,0.0,1.6942903279959178e-42,0.0,0.0,8.870843355756917e-246,0.0,0.0,0.0,0.0,0.073720042340995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.995130036730967,0.0,6.808368826292973,4.094584325320364e-42,4.5918691663914536e-263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.995130036730967,0.0,6.808368826292973,0.0,4.094584325320364e-42,0.0,4.5918691663914536e-263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FITJEY_clean,0.0006190776801794,0.0,1.746796542428663,0.0,0.636927669469654,0.0,4.2783950115967903e-38,0.0,1.879391315639226,0.0,1.022366675731761,0.0,0.0,4.456026833301819e-52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.636927669469654,0.0,0.0,0.0,0.0,1.879391315639226,0.0,1.022366675731761,0.0,0.0,4.456026833301819e-52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.238392314014664,2.5117161471923075e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.886013342139116,0.0,5.305222517260559e-25,0.0,4.693163304850005,0.0,0.0,1.2033746989827057e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1023350293307334,0.0038996656244396
CEFLEF_clean,0.0,0.0,4.6706664646317,0.0,16.27200868729971,0.0,0.0,0.0,11.675350356668297,0.0,25.316917778402136,0.0,0.0,1.5964608119110692e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9021026313030167e-15,0.0,0.0,0.0,16.27200868729971,0.0,0.0,0.0,0.0,11.675350356668297,0.0,25.316917778402136,0.0,0.0,1.5964608119110692e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9021026313030167e-15,0.0,0.0,0.0,0.0,2.2651632397982904,4.92015489320498,1.8413540782129816,0.6569055957404869,2.154555054770092e-96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2651632397982904,0.0,4.92015489320498,0.0,1.8413540782129816,0.6569055957404869,0.0,2.154555054770092e-96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROGSAI_clean,0.0,0.0,0.0,0.0,12.639722339399531,0.0,3.898056925372557e-246,0.0,0.0,0.0,8.352569309830969,0.0,0.0,0.8046179778886425,0.0,0.0,1.8036111830401904,0.0,0.0,0.0,0.0,0.31571086494827,0.0,0.0,0.4663871262363765,0.0,0.1330670210372508,0.0,0.0,0.0,12.639722339399531,0.0,0.0,0.0,0.0,0.0,0.0,8.352569309830969,0.0,0.0,0.8046179778886425,0.0,0.0,1.8036111830401904,0.0,0.0,0.0,0.0,0.0,0.4663871262363765,0.0,0.0,0.0,0.1330670210372508,0.0,0.0,0.0,0.0,1.0000000000000002,7.242749643757584,5.015604720451754,1.3188134715692392,7.154924590146345e-88,0.0,0.0,0.0,5.351067339718836e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.90469400471144,0.0,9.699081227098509,0.0,3.799425867961947,0.6528360806463469,0.0,1.0232324960208556e-184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041657772318099,0.0
QOYLOG_clean,0.0,0.0,0.0,0.0,11.853399772848412,0.0,3.553098162386172e-23,0.0,1.6719106144340745e-171,0.0,7.214941172109014,0.0,0.0,0.8915063713766724,0.0,0.0,1.8820276595019376,0.0,0.0,0.0,0.0,7.348432907319466e-281,0.0,0.0,0.0,0.0,0.3555375252261146,0.0,0.0,0.0,11.853399772848412,0.0,0.0,0.0,0.0,1.6719106144340745e-171,0.0,7.214941172109014,0.0,0.0,0.8915063713766724,0.0,0.0,1.8820276595019376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3555375252261146,0.0,0.0,0.0,0.0,6.97967982220787,6.590072254786739,1.21844537846127,0.6708711813964529,1.7302123132545394e-88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.97967982220787,0.0,6.590072254786739,0.0,1.21844537846127,0.6708711813964529,0.0,1.7302123132545394e-88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TASXIW_clean,0.0,0.0,7.4676900312573e-05,0.0,9.03312810082898,0.0,3.2021163863447235,0.0,0.0003491315784081,0.0,8.924764398219825,0.0,0.0,6.749305638379177e-39,0.0,0.0,0.8456574006858906,0.0,0.0,0.0,0.0,9.206499831537502e-67,0.0,0.0,0.0,1.011207710749357e-267,2.980915874941521e-153,0.0,0.0,0.0,9.03312810082898,0.0,0.0,0.0,0.0,0.0003491315784081,0.0,8.924764398219825,0.0,0.0,6.749305638379177e-39,0.0,0.0,0.8456574006858906,0.0,0.0,0.0,0.0,0.0,0.0,1.011207710749357e-267,0.0,0.0,2.980915874941521e-153,0.0,0.0,0.0,0.0,3.4818190262844384,5.130053157315688,2.112872709397561,0.6590846757645126,0.0033183092290767,0.7869373794681662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7880195851476754,0.0,5.01858876230953,0.0,1.2442871528007466,0.6703990982237679,0.0,8.076721322118332e-125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0248887338072507,0.0
SATCIB_clean,0.0,0.0,5.5426605065901375,0.0,7.282976154784246,0.0,6.803371294805518e-05,0.0,2.809976271528446,0.0,2.8137001777269037,0.0,0.0,3.35541834985797e-115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0053025008338743e-184,0.6500599364964327,0.0,0.0,0.0,0.0,7.282976154784246,0.0,0.0,0.0,0.0,2.809976271528446,0.0,2.8137001777269037,0.0,0.0,3.35541834985797e-115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0053025008338743e-184,0.6500599364964327,0.0,1.8244153603099292e-290,0.0,0.0,0.0,0.0,0.0,8.888344006701594,9.806173444400452,7.426935455210371,2.457024533112483,3.182066570664028e-87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.888344006701594,0.0,9.806173444400452,0.0,7.426935455210371,2.457024533112483,0.0,3.182066570664028e-87,2.411309824119187e-83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAPXID_ion_b,3.611818688048889,2.2286901457594976e-23,3.47952174850305,1.4679685366421403e-16,25.6015387117181,0.0,1.0335870166702457,0.7088368057090865,19.782957038289496,0.0,33.64035225784998,0.0,2.542677694617829e-11,1.7519489110477177e-50,0.0,0.0,0.0,0.0,0.8171568417105912,0.0,7.252192363348711e-133,3.921047517055511,3.757420480442604e-25,0.0,0.0831549439052803,0.4038267814760453,0.266046517137472,2.2286901457594976e-23,1.4679685366421403e-16,0.0,25.6015387117181,0.0,0.0,0.7088368057090865,0.0,19.782957038289496,0.0,33.64035225784998,0.0,2.542677694617829e-11,1.7519489110477177e-50,0.0,0.0,0.0,0.0,7.252192363348711e-133,3.757420480442604e-25,0.0,0.0,0.0831549439052803,0.4038267814760453,0.0,0.0,0.266046517137472,0.0,0.0,0.0,0.0,4.410373776829076,6.636171475386378,2.433013061806641,0.6730694245302399,1.9006315186464617e-95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.410373776829076,0.0,6.636171475386378,0.0,2.433013061806641,0.6730694245302399,0.0,1.9006315186464617e-95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EHAGEB_clean,0.9575911992397568,0.0,13.504232107152871,0.0,7.18569853120985e-13,0.0,4.267360693928915e-100,0.0,2.3977950005083803,0.0,11.09013510919894,0.0,0.0,2.337241850414076e-41,0.0,0.0,0.0,0.0,9.589106104378878e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.18569853120985e-13,0.0,0.0,0.0,0.0,2.3977950005083803,0.0,11.09013510919894,0.0,0.0,2.337241850414076e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.248602273261183,6.586019071829852,1.209893369366983,0.663204893513912,7.725865572832857e-89,0.0,0.0,0.0,0.0,0.0,1.0639873044800392e-30,0.0,0.0,1.5175977256473609e-18,0.0,0.0,0.0,0.0,0.0,6.248602273261183,0.0,6.586019071829852,0.0,1.209893369366983,0.663204893513912,0.0,7.725865572832857e-89,0.0,0.0,0.0,0.0,0.0,1.0639873044800392e-30,0.0,0.0,0.0,1.5175977256473609e-18
REJLEY_clean,0.0,0.0,0.0005788734734283,0.0,8.427119773692214,0.0,5.035948999768899e-21,0.0,2.699864394297929,0.0,14.085724734706016,0.0,0.0,4.727095818362661e-55,0.0,0.0,0.4737830801280159,0.0,0.0,0.6980084612846029,0.0,0.0014873041319098,0.0,0.0,0.061033087462653,0.0,0.0,0.0,0.0,0.0,8.427119773692214,0.0,0.0,0.0,0.0,2.699864394297929,0.0,14.085724734706016,0.0,0.0,4.727095818362661e-55,0.0,0.0,0.4737830801280159,0.0,0.0,0.0,0.0,0.0,0.061033087462653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0058310329495432,5.362439379863418,0.6358884169682387,0.0,1.2347361189465536e-123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.042215315857411,0.0,3.5999224550642737,0.0,5.128788902326413,1.3322874449049045,0.0,6.911392174410761e-119,0.0,0.0,0.0,5.518059468172298e-14,0.2777528356259945,0.0,0.0,0.0,0.0,0.0
