name,f-chi-0-all,f-chi-3-all,f-S-3-all,mc-chi-0-all,mc-Z-1-all,mc-Z-2-all,mc-S-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-T-1-all,D_mc-S-1-all,f-lig-chi-1,f-lig-Z-0,f-lig-Z-1,lc-chi-2-all,lc-chi-3-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-T-1-all,lc-T-3-all,lc-S-3-all,lc-alpha-2-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-T-3-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-3-all,func-T-2-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-T-2-all,D_func-T-3-all,D_func-S-1-all,D_func-S-3-all,D_func-alpha-2-all,mass,mass_per_metal,metal_3p_energy,oxygen_count,nitrogen_count,carbon_count,metal_3d_energy,metal_4s_energy,metal_7s_energy,metal_5f_energy,outer_shell_1,covalent_radius_1,thermal_conductivity_1,electron_affinity_1,3rd_most_stable_oxidation_state_1,outer_shell_2,lattice_param_2_2,period_2,electron_affinity_2
XUMSOP_clean,368.0879999999999,2932.5312,278.2176000000002,1.5128999999999997,4288.0,11390.0,2.7556000000000007,-17.680000000000003,-7.920000000000001,366.0,1074.0,44.0,7.439999999999999,155.26099999999994,427.3333333333333,688.0,20.605599999999985,16.741333333333337,48.0,112.0,69.33333333333333,3.0,5.0,0.929533333333334,87.98,0.8900000000000005,0.8900000000000005,2.013333333333333,2.0,2.0,7.333333333333333,-3.0,-0.04,0.1866666666666667,-6.000000000000001,-7.471406666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1187.83528,296.95882,-61.436304,24.0,0.0,12.0,-49.565996,-12.985498,,,2.0,1.58,0.162,50.0,,2.0,,6.0,50.0
VIWLEU_clean,126.2434,362.2681999999999,29.9113,2.48945,1557.0,912.0,2.4314000000000004,-7.762500000000002,-3.390000000000001,132.5,245.5,8.5,3.4400000000000013,292.8419999999999,874.0,1512.0,20.198425,17.949723214285704,52.5,109.85714285714286,96.96428571428572,3.642857142857143,7.285714285714286,1.1745250000000005,96.94785714285716,0.746964285714286,0.8423214285714289,1.7033928571428578,1.6785714285714286,1.8928571428571428,4.053571428571429,-3.678571428571429,-0.0378571428571428,-0.0542857142857143,-5.67857142857143,-10.993238035714286,11.833599999999992,20.605599999999985,17.543999999999986,64.0,96.0,4.0,87.98,119.78000000000009,0.8900000000000005,0.8900000000000005,1.780000000000001,2.0,2.0,4.0,-2.0,-4.0,-0.04,-0.08,-6.000000000000001,385.9553,385.9553,-50.08426,7.0,0.0,5.0,-39.528656,-10.844667,,,1.0,1.17,4.01,118.3,,2.0,,6.0,50.0
TOLYOJ_clean,131.36485,530.3104000000001,34.4998,0.8649000000000001,410.6666666666667,330.0,2.4025000000000003,-11.713333333333331,-8.54,21.33333333333333,41.333333333333336,13.333333333333334,3.826666666666666,196.9162,461.0,880.0,19.176853333333327,24.607466666666664,51.73333333333333,104.53333333333336,103.46666666666664,3.0,6.933333333333335,1.3762933333333331,102.81999999999998,0.6613333333333331,1.3053333333333337,2.937333333333333,1.5333333333333334,2.933333333333333,10.533333333333331,-4.0,-0.0586666666666667,0.2559999999999999,-8.8,-11.259969333333334,10.2784,25.57023999999999,19.6944,55.0,72.0,16.0,175.55913680000003,138.10713679999998,0.7040000000000004,1.952,2.014,1.4,9.2,9.4,1.6,0.8,-0.028,0.412,-3.608532000000001,139.02216928,139.02216928,,4.0,2.0,2.0,,,,,1.0,1.54,1.41,52.7,,1.0,,3.0,52.7
FAPXIG_clean,299.31959999999987,1711.7440000000015,152.19039999999998,2.6569,1104.0,1610.0,1.4884000000000002,-10.86,-3.68,68.0,218.0,24.0,2.940000000000001,428.7569999999999,1094.0,2064.0,20.605599999999995,17.543999999999997,48.0,112.0,96.0,3.0,6.0,1.1242,87.98,0.8900000000000005,0.8900000000000005,1.780000000000001,2.0,2.0,4.0,-4.0,-0.04,-0.08,-6.000000000000001,-12.000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619.8396,154.9599,-1.610516,20.0,0.0,8.0,-0.204634,-0.175968,,,2.0,1.22,0.307,50.0,,2.0,,4.0,50.0
XENMOU_SL,261.3250999999999,1610.6079999999995,128.68439999999998,2.7225,1152.0,2664.0,1.7161000000000002,-8.591999999999999,-3.4800000000000004,127.2,216.0,9.2,2.7840000000000003,571.9650000000001,1279.0,2604.0,20.605599999999995,17.543999999999997,48.0,112.0,96.0,3.0,6.0,1.1242,87.98,0.8900000000000002,0.8900000000000002,1.7800000000000005,2.0,2.0,4.0,-4.0,-0.04,-0.08,-6.000000000000001,-12.000000000000002,11.8336,35.087999999999994,65.35999999999999,64.0,224.0,24.0,239.56,335.110732,1.7800000000000002,3.5600000000000005,8.520000000000001,4.0,8.0,36.0,-4.0,0.0,-0.08,1.2799999999999998,-24.000000000000004,659.1313600000001,131.82627200000002,-3.022363,16.0,0.0,6.0,-0.398944,-0.222725,,,2.0,1.25,1.16,,,2.0,,4.0,
ISIMUT_clean,146.9498,559.4879999999999,41.561200000000014,2.7225,930.0,900.0,1.7161000000000002,-6.76,-4.5,120.0,238.0,7.0,2.3000000000000003,597.0315,1186.0,2688.0,26.0196,23.744,66.0,126.0,114.5,7.5,13.0,1.5671,171.66630700000002,0.9350000000000004,1.3550000000000002,2.0450000000000004,2.0,5.0,6.5,-3.0,0.1499999999999999,0.1199999999999999,-5.453555000000001,-10.403555,10.5376,38.9832,38.14639999999999,56.5,159.5,32.5,290.1526485,274.71649,1.4025000000000003,2.9100000000000006,3.53,3.0,10.5,14.0,-0.5,-0.5,-0.06,0.4699999999999999,-11.957110000000002,350.9134,175.4567,-3.022363,6.0,2.0,8.0,-0.398944,-0.222725,,,2.0,1.25,1.16,,,2.0,,4.0,
UJUPUM_clean,88.38775714285713,291.3188571428572,19.542857142857148,2.7225,720.0,1337.142857142857,1.7161000000000006,-4.765714285714288,-7.851428571428573,161.14285714285714,240.0,1.7142857142857142,1.9200000000000008,133.12260000000003,271.0,570.0,26.235200000000003,20.06399999999999,91.0,140.0,21.0,10.0,6.0,0.8325000000000004,193.14,0.4900000000000008,0.4900000000000008,2.519999999999997,1.0,1.0,18.0,3.0,-0.02,1.1400000000000003,-3.900000000000004,8.678670000000006,9.241600000000004,16.99360000000001,7.752000000000005,49.0,42.0,10.0,138.38000000000008,83.61999999999992,0.0,0.4900000000000008,0.4900000000000008,0.0,1.0,1.0,-1.0,-2.0,0.0,-0.02,-3.900000000000004,225.5054,225.5054,-3.022363,0.0,8.0,4.0,-0.398944,-0.222725,,,2.0,1.25,1.16,,,2.0,,4.0,
AFITEP_clean,83.88789999999999,299.472,20.482000000000003,2.7225,900.0,1080.0,1.7161000000000002,-6.360000000000001,-5.4,144.0,304.0,6.0,2.28,324.92100000000005,653.0,1392.0,24.742799999999995,19.336,66.0,105.0,76.0,7.5,8.0,1.12835,160.962614,0.9350000000000004,1.775,1.975,2.0,8.0,8.5,-1.5,0.3399999999999999,0.3299999999999999,-4.007110000000001,-5.0571100000000015,5.916799999999999,10.302799999999998,8.771999999999998,32.0,48.0,2.0,43.99,59.89,0.445,0.445,0.8900000000000001,1.0,1.0,2.0,-1.0,-2.0,-0.02,-0.04,-3.0000000000000004,197.4854,197.4854,-3.022363,2.0,2.0,6.0,-0.398944,-0.222725,,,2.0,1.25,1.16,,,2.0,,4.0,
LUFNAC02_clean,169.97699999999998,697.0879999999997,51.02200000000001,2.4025000000000003,975.0,750.0,1.9321,-9.05,-4.999999999999999,95.0,177.0,14.0,3.28,415.61300000000006,868.0,1778.0,22.26048,18.2608,55.2,109.20000000000002,88.0,4.8,6.799999999999999,1.12586,117.1730456,0.9080000000000004,1.244,1.8580000000000003,2.0,4.4,5.799999999999999,-3.0,0.1119999999999999,0.0839999999999999,-5.202844,-9.222844,9.2416,36.632000000000005,44.38400000000001,49.0,182.0,33.0,317.565228,401.18522800000005,1.8200000000000005,3.1500000000000004,3.640000000000001,8.0,15.0,16.0,4.0,4.0,0.3399999999999999,0.6799999999999998,-5.91422,361.97029,180.985145,-1.99145,8.0,2.0,8.0,-0.26654,-0.191136,,,2.0,1.17,0.0782,,2.0,2.0,,4.0,
LABKIL_clean,278.5728999999999,1750.479999999999,144.12019999999998,2.8561,2240.0,4896.0,2.1904,-9.966666666666669,-5.4466666666666645,266.0,659.6666666666666,21.33333333333333,4.473333333333334,341.39399999999995,730.5,1506.0,23.363733333333325,18.73866666666666,60.0,107.33333333333331,82.66666666666667,6.0,7.333333333333333,1.126966666666667,136.63507600000003,0.9200000000000004,1.4800000000000004,1.9100000000000008,2.0,6.0,7.0,-2.333333333333333,0.2133333333333333,0.1933333333333332,-4.671406666666667,-7.371406666666668,7.889066666666667,23.392,44.37599999999998,42.66666666666666,176.0,16.0,159.70666666666665,247.4086993333333,1.1866666666666672,2.3733333333333344,5.446666666666668,2.6666666666666665,5.333333333333333,20.666666666666668,-2.6666666666666665,-1.3333333333333333,-0.0533333333333333,0.5866666666666666,-16.000000000000004,753.4024,251.13413333333327,-21.637522,12.0,4.0,14.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
EKETUL_clean,163.35139999999998,1128.808,70.77080000000001,1.2100000000000002,4030.0,3705.0,2.8224,-17.919999999999998,-14.519999999999996,528.0,1013.0,46.0,7.56,248.8092800000001,522.6,1078.4,23.424426666666665,13.207466666666663,61.06666666666666,111.46666666666668,64.26666666666667,5.4,5.333333333333333,0.8275733333333333,120.5440608,0.6853333333333333,1.1840000000000002,1.3040000000000005,1.5333333333333332,4.8,4.0,-2.1333333333333333,0.1706666666666666,0.0533333333333332,-3.7371253333333336,-6.668562666666668,9.500800000000002,20.97152,23.104,50.5,78.4,21.8,206.30600000000004,187.1561824,0.984,1.1760000000000006,2.128,5.4,2.4,11.2,0.0,3.2,0.2919999999999999,0.5759999999999998,-9.36,413.01885,413.01885,-56.785113,7.0,5.0,6.0,-45.443863,-12.120486,,,2.0,1.59,0.111,50.0,,2.0,,6.0,50.0
MEJZIM_clean,676.3692000000005,6320.667000000002,752.6468000000004,1.2544000000000002,4968.666666666667,10498.0,2.6569,-21.356666666666666,-10.06,341.0,1357.6666666666667,75.0,8.643333333333336,294.54056,734.2,1516.4,23.737586666666665,21.634176666666665,125.7,134.41666666666669,99.41666666666669,7.0666666666666655,11.1,1.2945783333333334,146.581975,0.2546666666666667,0.6253333333333335,1.9655,1.7166666666666663,5.833333333333334,12.45,-2.5666666666666664,0.1645,0.4571666666666665,1.935007666666667,0.8189641666666649,5.89056,31.81589333333334,34.59530666666667,31.4,125.46666666666668,34.66666666666667,269.49665253333336,176.93708273333337,1.2793333333333334,3.3246666666666664,1.722,4.933333333333334,14.266666666666666,12.2,8.066666666666666,9.2,0.1679999999999999,0.7893333333333332,-4.553241333333331,1962.748772,327.12479533333334,-41.938282,42.0,0.0,22.0,-32.412569,-9.432744,,,2.0,1.65,0.114,50.0,,2.0,,6.0,50.0
XIDBUJ_clean,102.224,435.7439999999999,29.5372,2.7225,1140.0,1260.0,1.7161000000000002,-8.15,-6.300000000000001,168.0,302.0,13.0,2.8600000000000003,317.9850000000001,683.3333333333334,1416.0,24.28311111111111,21.17795555555556,64.0,105.7777777777778,88.8888888888889,7.0,6.444444444444444,1.1084222222222222,152.8534346666667,0.9300000000000004,1.676666666666667,1.3599999999999997,2.0,7.333333333333333,6.666666666666667,-0.4444444444444444,0.2977777777777777,0.3111111111111111,-4.228542222222222,-1.8285422222222223,7.025066666666667,17.204533333333334,23.22666666666667,37.66666666666666,106.66666666666669,9.333333333333334,140.82000000000002,201.5284093333333,0.6233333333333336,0.9500000000000004,1.9700000000000009,1.3333333333333333,2.0,7.0,-2.0,-2.333333333333333,-0.0266666666666666,0.1933333333333333,-7.199999999999999,225.4955,225.4955,-3.022363,3.0,2.0,7.0,-0.398944,-0.222725,,,2.0,1.25,1.16,,,2.0,,4.0,
TETVIZ_clean,232.4219333333333,1315.5936000000013,161.72906666666657,4.43936,1574.4,5914.8,1.841040000000001,-6.784000000000005,-0.2546666666666664,51.2,456.8,13.6,3.1653333333333333,60.26880000000003,481.0,960.0,35.50080000000002,0.0,120.0,192.0,0.0,4.0,0.0,0.0,84.27,1.25,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.359988888888889,7.889066666666669,0.0,189.22222222222223,0.0,0.6666666666666666,18.726666666666667,0.0,-3.611111111111111,0.0,0.0,20.22222222222222,0.0,0.0,0.0,0.0,0.9533333333333336,0.0,0.0,2033.981691,2033.981691,-2.388285,36.0,0.0,,-0.322368,-0.204497,,,2.0,1.16,1.0,70.0,,1.0,,5.0,96.0
HUYJOA_clean,187.67923333333337,917.7999999999996,61.093600000000016,3.6481,989.3333333333336,1138.6666666666663,1.4641,-6.339999999999999,-4.459999999999999,164.66666666666669,294.66666666666663,10.0,2.2,195.347,564.6666666666666,976.0,22.46125714285716,17.826857142857143,63.42857142857143,96.85714285714286,72.0,6.714285714285714,7.142857142857143,1.0474571428571438,146.52366914285702,0.9285714285714296,1.648571428571428,1.820000000000001,2.0,7.142857142857143,7.571428571428571,-1.4285714285714286,0.2857142857142857,0.2771428571428572,-4.29180857142857,-5.191808571428569,5.071542857142855,8.830971428571422,7.518857142857137,27.428571428571427,41.142857142857146,1.7142857142857142,37.705714285714286,51.33428571428573,0.3814285714285716,0.3814285714285716,0.7628571428571432,0.8571428571428571,0.8571428571428571,1.7142857142857142,-0.8571428571428571,-1.7142857142857142,-0.0171428571428571,-0.0342857142857143,-2.571428571428572,301.93143999999995,301.93143999999995,-2.594158,3.0,2.0,13.0,-0.348699,-0.210764,,,2.0,1.15,0.907,111.0,,2.0,,4.0,111.0
