name,mass,mass_per_metal,metal_3p_energy,oxygen_count,nitrogen_count,carbon_count,metal_3d_energy,metal_4s_energy,metal_7s_energy,metal_5f_energy,outer_shell_1,covalent_radius_1,thermal_conductivity_1,electron_affinity_1,3rd_most_stable_oxidation_state_1,outer_shell_2,lattice_param_2_2,period_2,electron_affinity_2
POWBEK_clean,2930.41655,2930.41655,-10.399926,32.0,4.0,8.0,-5.671499,-1.697124,,,1.0,1.17,4.01,118.3,,2.0,,6.0,60.0
BIXYEO_clean,7933.65436,991.706795,-41.938282,112.0,10.0,34.0,-32.412569,-9.432744,,,2.0,1.65,0.114,50.0,,2.0,,6.0,60.0
DUYRIZ_clean,27876.4104,1161.5171,-41.938282,336.0,24.0,96.0,-32.412569,-9.432744,,,2.0,1.65,0.114,50.0,,2.0,,6.0,60.0
WAPSUE_clean,11933.282896,1491.660362,-41.938282,136.0,0.0,,-32.412569,-9.432744,,,2.0,1.65,0.114,50.0,,2.0,,6.0,60.0
DOTYES_clean,17472.150976,582.4050325333334,-2.594158,208.0,36.0,44.0,-0.348699,-0.210764,,,2.0,1.15,0.907,111.0,,2.0,,6.0,60.0
NIHVUX_clean,8127.319428,2031.829857,-41.938282,98.0,10.0,,-32.412569,-9.432744,,,2.0,1.17,0.0782,,2.0,2.0,,6.0,60.0
DUYREV_clean,27767.4148,1156.9756166666666,-43.692548,328.0,24.0,96.0,-33.913996,-9.577447,,,2.0,1.65,0.125,50.0,,2.0,,6.0,60.0
DUYROF_clean,27847.35768,1160.30657,-39.895838,336.0,24.0,96.0,-30.626696,-9.000543,,,2.0,1.69,0.135,50.0,,2.0,,6.0,60.0
BIXXIR_clean,7923.97012,990.496265,-39.895838,112.0,10.0,34.0,-30.626696,-9.000543,,,2.0,1.69,0.135,50.0,,2.0,,6.0,60.0
JUKNUA_clean,16589.56245712,4147.39061428,,184.0,44.0,48.0,,,,,1.0,1.54,1.41,52.7,,2.0,,6.0,60.0
RIPWIY_clean,16195.68589712,2024.46073714,-0.693776,200.0,,4.0,,-0.088815,,,1.0,1.54,1.41,52.7,,2.0,,6.0,60.0
JIYXUL_clean,5294.96792352,588.32976928,,76.0,,8.0,,,,,1.0,1.54,1.41,52.7,,2.0,,6.0,60.0
DUYRAR_clean,27847.4392,1160.3099666666667,-45.791219,328.0,24.0,96.0,-35.754515,-10.000891,,,2.0,1.64,0.165,50.0,,2.0,,6.0,60.0
PURNIB_clean,5693.26838,2846.63419,-0.693776,68.0,8.0,16.0,,-0.088815,,,1.0,2.03,1.024,48.36,,2.0,,6.0,60.0
JORBAV_clean,391.9792,391.9792,-80.502102,0.0,8.0,8.0,-66.724787,-17.570797,,,2.0,1.3,1.74,60.0,,2.0,,6.0,60.0
ZALDUO_clean,391.9792000000001,391.9792000000001,-80.502102,0.0,8.0,8.0,-66.724787,-17.570797,,,2.0,1.3,1.74,60.0,,2.0,,6.0,60.0
HAQKES_clean,1516.2075200000002,379.05188,-21.637522,22.0,3.0,24.0,-14.685252,-3.596069,,,1.0,1.17,4.01,118.3,,2.0,,5.0,
KUGCOF_clean,1373.6956,686.8478,-21.637522,24.0,0.0,,-14.685252,-3.596069,,,1.0,1.17,4.01,118.3,,2.0,,5.0,
HAZNON_clean,538.98888,269.49444,-21.637522,7.0,4.0,12.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
NAHFOU_clean,308.5329,308.5329,-21.637522,2.0,4.0,9.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
METYIU_clean,260.4868,260.4868,-21.637522,3.0,2.0,6.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
MEGBEH_manual,400.86,200.43,-21.637522,8.0,0.0,4.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
GUPNUC_clean,280.4914,280.4914,-21.637522,0.0,12.0,,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
IROROY_clean,260.4868,260.4868,-21.637522,3.0,2.0,6.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
OKILUR_clean,212.4407,212.4407,-21.637522,4.0,0.0,3.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
WISVEB_clean,384.8606,192.4303,-21.637522,7.0,0.0,4.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
TUKCOT_clean,226.4953,226.4953,-21.637522,0.0,3.0,6.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
BOPHEV_clean,256.4502,256.4502,-21.637522,6.0,0.0,4.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
IYEQUA_clean,276.4862,276.4862,-21.637522,4.0,2.0,6.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
QALHIX_clean,200.43,200.43,-21.637522,4.0,0.0,2.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
JORLEJ_clean,464.9534,232.4767,-21.637522,4.0,4.0,10.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
IJEVIE_clean,2228.7514,202.61376363636364,-21.637522,44.0,0.0,24.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
GISZUF_clean,236.5316,236.5316,-21.637522,1.0,2.0,4.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
HOWPOZ_clean,256.4981,256.4981,-21.637522,2.0,2.0,7.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
RAVJOP_clean,651.3321000000001,217.11070000000004,-21.637522,11.0,3.0,8.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
NEXVUI_clean,645.3474,215.1158,-21.637522,10.0,2.0,10.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
QEKLID01_clean,601.29,200.43,-21.637522,12.0,0.0,6.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
MUPYUS_clean,537.0308,268.5154,-21.637522,0.0,12.0,12.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
XUVQOW_clean,168.4312,168.4312,-21.637522,2.0,0.0,2.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
BURQIQ_clean,601.29,200.43,-21.637522,12.0,0.0,6.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
PIJJEZ_clean,689.309,229.76966666666667,-21.637522,16.0,0.0,8.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
XOTSIK_clean,601.29,200.43,-21.637522,12.0,0.0,6.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
TACJIS_clean,200.43,200.43,-21.637522,4.0,0.0,2.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
TUKCUZ_clean,282.5155,282.5155,-21.637522,2.0,3.0,8.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
GAYFUJ_clean,1298.8836,216.4806,-21.637522,0.0,24.0,24.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
ESANET_clean,2275.0832400000004,252.78702666666672,-21.637522,0.0,54.0,24.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
HIDBON_clean,492.9734,246.4867,-21.637522,2.0,10.0,8.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
NUYWEK_clean,276.4862,276.4862,-21.637522,4.0,2.0,6.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
TETWUM_clean,921.8336,230.4584,-21.637522,14.0,4.0,16.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
IBUBAL_clean,232.4767,232.4767,-21.637522,2.0,2.0,5.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
AVETEC_clean,288.449,288.449,-21.637522,8.0,0.0,4.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
NIFTIH_clean,1635.7328,204.4666,-21.637522,8.0,16.0,32.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
WIDZOA_clean,520.9736,260.4868,-21.637522,6.0,4.0,12.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
AROFAP_clean,1154.5818,192.4303,-21.637522,21.0,0.0,12.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
DUKYOZ_clean,432.9612,216.4806,-21.637522,0.0,8.0,8.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
LUWYUY_clean,552.9724,276.4862,-21.637522,8.0,4.0,12.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
DILXED_clean,997.9476,249.4869,-21.637522,7.0,14.0,20.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
HOVGIK_clean,552.9724,276.4862,-21.637522,8.0,4.0,12.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
DIYKED_clean,276.4862,276.4862,-21.637522,4.0,2.0,6.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
WIFBAQ_clean,552.9724,276.4862,-21.637522,8.0,4.0,12.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
DAWDAI_clean,645.3474,215.1158,-21.637522,10.0,2.0,10.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
YUYGOQ_clean,1058.1702,211.63404,-21.637522,22.0,0.0,12.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
ERUVEU_clean,1150.08816,287.52204,-21.637522,0.0,36.0,16.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
IGUVIR_clean,552.9724,276.4862,-21.637522,8.0,4.0,12.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
SIVVAW_clean,552.9724,276.4862,-21.637522,8.0,4.0,12.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
FODCEI_clean,282.51550000000003,282.51550000000003,-21.637522,2.0,3.0,8.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
WIDZUG_clean,552.9724,276.4862,-21.637522,8.0,4.0,12.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
OHAKEO_clean,276.4862,276.4862,-21.637522,4.0,2.0,6.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
MUPYOM_clean,226.4953,226.4953,-21.637522,0.0,3.0,6.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
SOCLAZ_clean,260.4868,260.4868,-21.637522,3.0,2.0,6.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
