name,Temp
EBOTOF_clean,197.9266556
FITJEY_clean,416.258098
CEFLEF_clean,434.9643331
ROGSAI_clean,330.6438539
QOYLOG_clean,379.3285636
TASXIW_clean,343.9113356
SATCIB_clean,335.643209
DAPXID_ion_b,324.3306596
EHAGEB_clean,418.3832439
REJLEY_clean,326.8523005
XAVQIU01_clean,305.6706282
XADGOA_clean,393.4653039
XADDAJ_clean,491.6038479
XADGAM_clean,299.8244051
DAHWAM_clean,422.0145911
ICIZOL_clean,473.7523105
WUBHEI_clean,570.2625571
MUMYAW_clean,604.1485695
ZUQMAB_clean,325.3052632
NAJSUP_clean,324.0470156
NAJTAW_clean,304.3699409
NAJTEA_clean,319.3305334
SANGEW_clean,529.3362982
SANGUM_clean,514.1240257
SANHIB_clean,457.6401481
SANHOH_clean,343.9257027
SANHUN_clean,331.8760593
SANJAV_clean,442.9745533
AGUWUV_clean,391.2525447
GUWDUY_clean,350.3453993
LUWYUY_clean,276.8570257
BAEDTA01_clean,395.105852
INIXOT_clean,392.5220854
OMEWUZ_clean,448.0087674
TEBWII_clean,289.6182731
VECWUX_clean,347.5547114
BELTOD_clean,494.6011396
BELTUJ_clean,425.7865307
IGUCIY_clean,265.6751565
QIRWAR_clean,254.2487685
KOFVOS_clean,414.543736
HOXSUK_clean,347.5213338
PORVID_clean,283.925962
HOXSIY_clean,344.0950456
GUFXEM_clean,447.6560463
HEKTUO01_clean,306.9137572
JUSBAC_clean,317.4888206
JUSHAI_clean,238.5345515
DUZPUL_clean,330.9355992
BACGAQ_clean,320.352867
ITIXAM_clean,459.8563855
UXUPEK_clean,360.8505316
BOPWIO_clean,443.033972
PUMNIV_clean,195.1434534
PUMNOB_clean,166.0816923
FULQOT_clean,457.5629064
FULQUZ_clean,449.5015716
UPOVOL_clean,313.4263678
BAKLIK_clean,250.0918728
NATXIR_clean,420.6071229
ESEHIV_clean,452.7734095
WULQUR_clean,390.3046612
VUVZAP_clean,291.978665
XOKHIP_clean,361.2898003
OXUNEB_clean,438.0598395
ELERIX01_clean,412.9182045
FAVZEJ_clean,254.422531
