name,Temp
WEVQOD01_clean,35.01679328
LEVLEF_clean,79.90134009
TAMHUM_clean,92.38415845
SUHMEP_clean,101.9021222
VEMMIK_clean,105.7453416
TATYUL_clean,110.0584036
PUYHOI_clean,115.0864432
LEPLEZ02_clean,116.2735849
WALKAY_clean,125.6778443
PASTOU_clean,129.3073534
ROLCEC15_clean,130.0072913
ROLCEC19_clean,130.0072913
ROLCEC13_clean,130.0072913
ROLCEC18_clean,130.0072913
ROLCEC16_clean,130.0072913
ROLCEC14_clean,130.0072913
EPISOM_clean,132.6617935
GUPNUC_clean,134.3416435
GUPNUC01_clean,134.3416435
HUYKAN_clean,135.4395812
FIXVUE_clean,139.9365135
NIYZIG_clean,140.3162646
KAPHAL_clean,140.7084565
DIDBEZ_clean,140.7769772
DIDBAV_clean,140.7769772
SONTOF_clean,142.6512485
ETEJIX_clean,149.2757394
RUHFEH_clean,152.7559055
HUYJUG_clean,153.8567702
ETEJOD_clean,154.2433862
LOFVUY_clean,155.1320884
LOFVUY01_clean,155.1320884
RUHFIL_clean,155.8369317
RUHFOR_clean,156.5120238
LITCIC_clean,156.6976188
LOSXIC_clean,156.9702725
RUHFUX_clean,158.2073131
ROYRII_clean,159.4632768
VEMMEG_clean,160.371111
VERPOZ_clean,161.4754838
UMEDEX_clean,163.8607595
RIBTAZ_clean,164.0551716
HUNCUQ_clean,164.3690029
SONTIZ_clean,165.9420569
PUMNOB_clean,166.0816923
SONTAR_manual,166.5505858
ETEKEU_clean,167.2576832
ULASAD_clean,169.5988549
ETEJUJ_clean,169.9366814
ONUKAL_clean,170.2600534
CUKVUA_clean,173.9624637
YICDAR_clean,174.1325536
KIGCEK_clean,176.4317841
GAGSUF_clean,176.6658855
YOZKOP_clean,176.8543172
UJUPUM_clean,178.7064677
FURRAM_clean,179.5677936
DITYOW_clean,180.2875846
GONTAG_clean,180.3633653
RONSIY_clean,182.7902647
BOWNUY_clean,183.5132584
XOJPIW_charged,183.6380344
QUTVIM_clean,184.3900265
UHIYOB_clean,184.4827586
FURREQ_clean,184.7770816
CUNQUZ_clean,185.7578564
JITPOS_SL,185.8585859
FUSMOW_clean,186.0621707
LACNUB_clean,186.4668171
FUSMUC_clean,186.681743
KEJBOQ_clean_h,188.181521
VEMMAC_clean,188.5737179
XOJPES_clean,188.7535145
BAKYOE_clean,188.7982636
SODQOT_clean,188.89029
CUNQOT_clean,188.8963758
FUSMIQ_clean,189.5601173
SETDUS_clean,190.3762535
FUSMEM_clean,190.8621116
NEYJIM_clean,191.3232104
RUXKUS_clean,191.5329321
HAWREE_clean,191.8128655
NUNSIA_clean,192.4932764
HIQNAY_clean,192.8453637
FURRIU_clean,193.8370755
LEYLUX_clean,194.2906951
PUMNIV_clean,195.1434534
ODONIF_clean,195.9006748
VERZUP_clean,196.0987488
VOPCIO_clean,196.7075178
SOJSUH_clean,197.2445015
EBOTOF_clean,197.9266556
VOCQEJ_clean,198.7437283
NUNSOG_clean,199.5570534
GIYSEN_clean,199.938295
KIRKAZ_clean,201.1271205
EZUCIM_clean,202.2917488
RORVAX_clean,204.0797546
NUVYOT_clean,204.1385724
GAQYIH_clean,204.2603271
DAWBIO_clean,204.5885085
VAJTUX_clean,204.9706015
GAGQAI_clean,207.2898531
MUWQEB_clean,207.2898531
FOBNAN_clean,207.4330679
AFITEP_clean,207.5941504
SIWSUO_clean,207.7992051
LEVPAF_clean,208.4713715
ZOMNUM_clean,208.8206862
URUVUA_clean,209.4438109
QOXFIU_clean,209.8325123
IJEXUR_clean,210.0711218
ZEDHIB_clean,210.2597403
MONWET_clean,210.5529954
SAXLEK_clean,210.6671035
RUWZIU_clean,210.9688836
POVZOR_clean,211.0294118
XUZDUS_clean,211.5166261
PEHTON_clean,211.7461676
COXHON_clean,211.7602937
NUFCAU_clean,211.9381467
DOPHUN_clean,212.2098577
PATNAB_clean,212.3637277
JEXXAM_clean,212.9076403
MOTVOI_clean,213.1696429
AVELUJ_clean,213.3777718
HEBKEG_clean,213.6937241
IBOZIK_clean,214.1407529
REGLOG_clean,214.4227694
TEWFOS_clean,215.054067
TEWFUY_clean,215.054067
TIJPOT_clean,215.1133924
OHIHET_clean,215.8397566
YUKVUW_clean,216.2680452
ZOXNEH_clean,216.6914929
IJEYON_clean,217.245778
DOPJAV_clean,217.2839506
YUNJEX_clean,217.5741091
TOPKIT_clean,217.7468961
QUVFAP_clean,217.8126426
ACAJOF_clean,218.0584924
QOMDUS_clean,219.1361494
NAWDUN_clean,219.3176659
CETHEQ_clean,219.5292954
VUMBIQ_clean,219.6825397
JIYXUL_clean,219.8478412
BASSUL_clean,219.9012487
IKOSOQ_clean,220.0201969
FAMHAE01_clean,220.08924
FAMHAE_clean,220.08924
